
💫央视频道,#genre#
2023大湾区电影音乐晚会,https://live.video.weibocdn.com/4918056067269496_wb720avc_index.m3u8
CHC高清电影,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8
CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8
变形金刚：超能勇士崛起,https://vip.ffzy-online2.com/20230608/38984_450f2c85/2000k/hls/mixed.m3u8
速度与激情10,https://hxf.njc.svp.tencent-cloud.com/0bc3wuah4aaazeaf5hedhrsfbnodp22qa7qa.f10002.mp4
长空之王,https://mpvideo.sh.svp.tencent-cloud.com/0bc3qiaccaaageagp5mmtjsfbawdegbaaiia.f10102.mp4?dis_k=84b49d5e872435ee1217efc732439f47&dis_t=1686920371&play_scene=10600&auth_info=SKPC5RJgXnSNhY7HcCkSEmk5NB9qNklgUld1aAxQQn9uYwQ=&auth_key=dab09478c38105996c70264340f1f98c
警察故事,http://50069.njc.svp.tencent-cloud.com/0b782maaqaaa4mamluunofpfbu6dbdjqacaa.f10002.mp4
万湖会议,https://visionularcdn.yishihui.com/output/longvideo/multitranscode/video/vpc/20220426/15188709cDMCrQohaPbvMnKIWz20220501221000330846457-3HD.m3u8
银河护卫队3,https://vip.ffzy-online2.com/20230508/36532_933bddd4/2000k/hls/mixed.m3u8#https://fhnimg.oss-cn-shenzhen.aliyuncs.com/64551502656c9651cf1b083a42cab1a7b22a8c3f_0_0
航海王：红发歌姬,https://kd.gzc.svp.tencent-cloud.com/0b2e64abeaaa5aafb6qoejsfb56dcl3qaeqa.f10002.mp4#https://kd.gzc.svp.tencent-cloud.com/0b2e5uabaaaaiyadj6ylebsfb3odcdwqaeaa.f10002.mp4
漂流家园,https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20220917/15188709vXmzdqs5A3Z05Fg6OA.m3u8#https://43.154.3.196/yun/hls/piaoliujiayuan.m3u8

子弹列车,https://visionularcdn.yishihui.com/output/longvideo/multitranscode/video/vpc/20220927/15188709rJTkLJVEqvPqOSQcTU20220927224000475418044-3HD.m3u8#https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20220928/15607217I7iosBE6t5Kv0LOt7l.m3u8

流浪地球2,https://hd.lz-cdn18.com/20230414/1866_7d8603d9/2000k/hls/mixed.m3u8#https://dow.dowlz12.com/20230414/1866_7d8603d9/流浪地球2.mp4

满江红,https://vip.lz-cdn4.com/20230428/25694_3bf6ffb6/2000k/hls/mixed.m3u8#https://dow.dowlz11.com/20230428/25694_3bf6ffb6/满江红.mp4
速度与激情10,https://vip.lz-cdn3.com/20230609/19446_bd6c3340/2000k/hls/mixed.m3u8#https://dow.dowlz10.com/20230609/19446_bd6c3340/速度与激情10.mp4
我们x她,https://hd.lz-cdn15.com/20230427/951_1cb74ad4/2000k/hls/mixed.m3u8#https://dow.dowlz13.com/20230427/951_1cb74ad4/我们X她.mp4
姨母的诱惑,https://hd.lz-cdn15.com/20221115/592_0e773695/1200k/hls/mixed.m3u8#https://dow.dowlz12.com/20221115/592_0e773695/姨母的诱惑.mp4
春妇传,https://vip.lzcdn2.com/20230620/26185_af66bc4c/2000k/hls/mixed.m3u8
春妇传,https://dow.dowlz13.com/20230620/26185_af66bc4c/春妇传.Story.of.a.Prostitute.1965..mp4
阿凡达：水之道,https://vip.lz-cdn3.com/20230324/18294_cb177a50/1800k/hls/mixed.m3u8#https://dow.dowlz10.com/20230324/18294_cb177a50/Avatar.The.Way.of.Water.2022.mp4
坎大哈陷落,https://vip.lz-cdn3.com/20230616/19630_d79b7017/2000k/hls/mixed.m3u8#https://dow.dowlz10.com/20230616/19630_d79b7017/坎大哈.Kandahar.2023.mp4
奥林匹斯的陷落,https://vip.lz-cdn2.com/20220429/4949_366380a5/1200k/hls/mixed.m3u8#https://dow.dowlz5.com/20220429/4949_366380a5/白宫陷落.Olympus.Has.Fallen.2013.mp4
伦敦陷落,https://vip.lz-cdn2.com/20220429/4901_e499a13f/1200k/hls/mixed.m3u8#https://dow.dowlz5.com/20220429/4901_e499a13f/伦敦陷落.London.Has.Fallen.2016.mp4
莫斯科陷落,https://vip.lz-cdn1.com/20221113/18330_f10a6cef/1200k/hls/mixed.m3u8#https://dow.dowlz7.com/20221113/18330_f10a6cef/莫斯科陷落.Attraction.2017.国语.mp4
飞机陷落,https://vip.lz-cdn3.com/20230203/17492_db6a00f5/1800k/hls/mixed.m3u8#https://dow.dowlz10.com/20230203/17492_db6a00f5/飞机陷落.Plane.2023.mp4
天使陷落,https://vip.lz-cdn2.com/20220511/6213_9b954352/1200k/hls/mixed.m3u8#https://dow.dowlz5.com/20220511/6213_9b954352/天使陷落.Angel.Has.Fallen.2019.mp4
暴力街区,https://vip.lz-cdn7.com/20221228/12998_9d60f017/2000k/hls/mixed.m3u8#https://dow.dowlz10.com/20221228/12998_9d60f017/暴力街区.Brick.Mansions.2014.mp4
毒舌律师,https://vip.lz-cdn1.com/20230622/21138_ab870c80/2000k/hls/mixed.m3u8
2023年电影》:

爱欲四部曲2,https://ukzy.ukubf8.com/20230629/c70jrwJJ/index.m3u8

暴风,https://cdn17.yzzy-tv-cdn.com/20230629/10411_03078979/index.m3u8

曼谷风云,https://cdn16.yzzy-tv-cdn.com/20230620/10364_a7afa251/index.m3u8

追杀川岛芳子,https://cdn17.yzzy-tv-cdn.com/20230613/8590_fafa885a/index.m3u8

昆仑境,https://cdn15.yzzy-tv-cdn.com/20230610/15317_9ea0d662/index.m3u8


医者来时路,https://cdn12.yzzy-tv-cdn.com/20230220/19780_22a40f1d/index.m3u8

山村旅店,https://ukzyvod3.ukubf5.com/20230528/AFk3qX8j/index.m3u8

大捕快之盗画案,https://img.sobot.com/chatres/d0c6cbd859204e61a7e31ed0361d56bc/msg/20230702/4c34283e239f424c9eeef90ef3427a33/e3147706b72f484ea4e996caf8465c65.m3u8

极速保镖,https://cdn17.yzzy-tv-cdn.com/20230615/8907_48eeebbb/index.m3u8

九龙秘藏,https://ukzyvod3.ukubf5.com/20230615/f62WRA4Q/index.m3u8

绝色狂花之龙迹神宫,https://cdn16.yzzy-tv-cdn.com/20230510/4888_37a72eb5/index.m3u8

大海怪,https://ukzyvod3.ukubf5.com/20230416/SMQI1Hjn/index.m3u8

辣警狂花:第1部,https://cdn13.yzzy-tv-cdn.com/20230322/18321_a967b574/index.m3u8

辣警狂花:第2部,https://cdn15.yzzy-tv-cdn.com/20230326/4049_1b286d2c/index.m3u8

辣警狂花:第3部,https://cdn15.yzzy-tv-cdn.com/20230329/4852_2724c586/index.m3u8


流浪地球2,https://cdn10.yzzy-tv-cdn.com/20230124/23895_527527bc/index.m3u8

两万种蜜蜂,https://s8.fsvod1.com/20230701/pQobQIY4/index.m3u8

风再起时,https://vip.lz-cdn1.com/20230616/21119_0103eb8f/2000k/hls/mixed.m3u8#https://dow.dowlz13.com/20230616/21119_0103eb8f/风再起时.mp4
空中杀阵,https://vip.lz-cdn3.com/20230616/19624_a2b949b1/2000k/hls/mixed.m3u8#https://dow.dowlz10.com/20230616/19624_a2b949b1/空中杀阵.Sky.Fighters.2005.mp4
出来战斗,https://vip.lz-cdn3.com/20230613/19558_b07698e2/2000k/hls/mixed.m3u8#https://dow.dowlz10.com/20230613/19558_b07698e2/出来战斗.mp4

长空之王,https://dow.dowlz10.com/20230615/19614_d4ff310d/长空之王.2023.mp4#https://vip.lz-cdn3.com/20230615/19614_d4ff310d/2000k/hls/mixed.m3u8
黑鹰坠落,


高踢少女,https://vip.lz-cdn7.com/20230522/16132_37419e19/2000k/hls/mixed.m3u8#https://dow.dowlz10.com/20230522/16132_37419e19/高踢少女.High.Kick.Girl.2009.mp4
英雄本色1,https://vip.lz-cdn2.com/20220323/301_c63c3d45/1200k/hls/mixed.m3u8#https://dow.dowlzi.com/20220323/301_c63c3d45/英雄本色.A.Better.Tomorrow.1986.REMASTERED.BluRay.1080p.x264.DTS.mp4

英雄本色2,https://dow.dowlz5.com/20220528/7733_e8a9ed1f/英雄本色2 (1987).mp4#https://vip.lz-cdn2.com/20220528/7733_e8a9ed1f/1200k/hls/mixed.m3u8
英雄本色3,https://vip.lz-cdn1.com/20220404/837_c8581fdf/1200k/hls/mixed.m3u8#https://dow.dowlzi.com/20220404/837_c8581fdf/英雄本色3.mp4
无间道,


青蛇,




入殓师,
阳光灿烂的日子,
拯救大兵瑞恩,
新生化危机,
哥斯拉大战金刚,
霸王别姬,https://api.c-zzy.online:81/m3/64f5e780e71688490479/qykAHmReeW-jRG-QQRH3goGGC8b4Mi9omj37bxXf1bIN1w7-Vc1OLcQvnplDiVN2DY0khSol1J90Ew3VP4xSTkUEjCbCXa7vxiZEX-1Ea092InNbrLoRrKAZfYrncYrN.m3u8
阿甘正传,https://api.c-zzy.online:81/m3/519e2ab25e1688490556/qykAHmReeW-jRG-QQRH3goGGC8b4Mi9omj37bxXf1bIN1w7-Vc1OLcQvnplDiVN2DY0khSol1J90Ew3VP4xSTkUEjCbCXa7vxiZEX-1Ea092InNbrLoRrKAZfYrncYrN.m3u8
泰坦尼克号,
盗梦空间,
辛德勒的名单,
星际穿越,https://api.c-zzy.online:81/m3/0c75050eee1688490659/qykAHmReeW-jRG-QQRH3goGGC8b4Mi9omj37bxXf1bIgtvicdplCsr8PXSKMzgAYftHTwLwQw82QJb3Z07D3LO5w5D6IazhKu6DHyyHBJdbkDiUHHsCqGL6gosLvoXJ_.m3u8
楚门的世界,
机器人总动员,https://43.154.3.196/vtt/movie1/m/03/%E6%9C%BA%E5%99%A8%E4%BA%BA%E6%80%BB%E5%8A%A8%E5%91%98.m3u8
无敌破坏王,https://50069.gzc.svp.tencent-cloud.com/0bf2zqabaaaadyafssw7mzqfbtgdcdgaaeaa.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0b78tuaaeaaa2qao3jagjnpvbhodakoqaaqa.f10002.mp4
疯狂动物城,https://50069.gzc.svp.tencent-cloud.com/0bf25eafyaaax4aceza4tvqvb2odltuqaxaa.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0b78guaacaaawyaayxg3ovqfanodae2qaaia.f10002.mp4








柯南：红之校外旅行,https://50069.gzc.svp.tencent-cloud.com/0bf2nuaemaaabeahdcat75qva3odizwqarqa.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0bc3a4aawaaaf4afexnqyzrfab6dbmdqacya.f10002.mp4
柯南：绯色的子弹,https://50069.gzc.svp.tencent-cloud.com/0bc3xiabcaaahiahlp5ei5qvbowdcg5aaeia.f10002.mp4
柯南：绯色的不在场证明，https://50069.gzc.svp.tencent-cloud.com/0bc3a4aawaaaf4afexnqyzrfab6dbmdqacya.f10002.mp4#
柯南：黑铁的鱼影,https://vt1.doubanio.com/202306201957/096dd3ff309fcdfd16804e100639751d/view/movie/M/403010440.mp4

天气之子 - 日语,https://vip.lz-cdn16.com/20230612/27347_68ab3e18/2000k/hls/mixed.m3u8#https://dow.dowlz12.com/20230612/27347_68ab3e18/天气之子日语.mp4
你的名字,https://43.154.3.196/vtt/movie1/m/03/%E4%BD%A0%E7%9A%84%E5%90%8D%E5%AD%97.m3u8#https://50069.gzc.svp.tencent-cloud.com/0bf24iabcaaaamahhjtakrqvbywdchraaeia.f10002.mp4
你好世界,https://50069.gzc.svp.tencent-cloud.com/0bf2buaaeaaa7qad6jzconpvadodaigqaaqa.f10002.mp4
萤火之森,https://50069.gzc.svp.tencent-cloud.com/0bc3xiaacaaabeadkpr4kfrfbowdag5aaaia.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0b78huaakaaaj4ai75cq25qfapodau6qabia.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0bf25maacaaaqiadea2ih5qvb26dahvqaaia.f10002.mp4
侧耳倾听-日语,https://50069.gzc.svp.tencent-cloud.com/0bf22maa2aaa5aahsar5tvqvbu6dbxjqadia.f10002.mp4
侧耳倾听-国语,https://50069.gzc.svp.tencent-cloud.com/0bc3uqaayaaatyaikwns2brfbjgdbssaadaa.f10002.mp4
渔港的肉子酱,https://50069.gzc.svp.tencent-cloud.com/0bc35eaa2aaalmaks6ee5frfb2odbxuqadia.f10002.mp4
紫罗兰永恒花园,
海边的异邦人,https://50069.gzc.svp.tencent-cloud.com/0bf2keaa2aaanmap3gso3bqfauodbviqadia.f10002.mp4
坏蛋联盟,https://kd.gzc.svp.tencent-cloud.com/0bc3vmabgaaasmaoanlrlbrfbk6dcovqaeya.f10002.mp4
鬼灭之刃剧场版 无限列车篇,https://p1-dy.bytecdn.cn/obj/tos-cn-o-0004/b1c6b9b26ca04044a26adfc26ac08c9f?filename=1.mp4
哆啦A梦：伴我同行1,https://50069.gzc.svp.tencent-cloud.com/0bf27qac4aaaniajdqgupfqfb7gdf36aalqa.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0b78kiaaoaaahaaporpepzqfauwda5jaabya.f10002.mp4
哆啦A梦：伴我同行2,https://50069.gzc.svp.tencent-cloud.com/0bf2uiae6aaa6qajno6wobqfbiwdj6raatya.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0bf2eyaemaaakaaipiguarqfajwdiytaarqa.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0b78weaaiaaa6ianccwahjqfbmodasyqabaa.f10002.mp4
天之杯Ⅲ：春之歌,https://50069.gzc.svp.tencent-cloud.com/0b78keaaqaaa7eaosvhfprqfauodbbiqacaa.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0b78keaaqaaa7eaosvhfprqfauodbbiqacaa.f10002.mp4



崖上的波妞,https://50069.gzc.svp.tencent-cloud.com/0b78fiaasaaal4anst6slzqfakwdbevaacia.f10002.mp4
东京教父,https://50069.gzc.svp.tencent-cloud.com/0bf2viaaeaaatuabeesigvqvbkwdakvaaaqa.f10002.mp4#https://50069.gzc.svp.tencent-cloud.com/0b2epaabeaaaveah4mnb6jrfa6gdcj4aaeqa.f10002.mp4






东京物语,
正义骑士,https://hxf.njc.svp.tencent-cloud.com/0b78muaaiaaamaagbhw7pvqfazodarsqabaa.f10102.mp4
天空-俄罗斯战争,https://hxf.njc.svp.tencent-cloud.com/0bc3dqaeeaaafmal34oec5qvahgdiioaaqqa.f10102.mp4
卓娅-俄罗斯英雄,http://cs.gzc.svp.tencent-cloud.com/0b2egyaaoaaaoiachefxonqvanwda43aabya.f10102.mp4
铃芽之旅,https://wxhls.mcloud.139.com/hls/MA6e090858b135bd8387f9b645c4bbe323/single/video/0/720/index.m3u8

2023河南元宵奇妙游,https://vip.lz-cdn12.com/20230205/4733_c39bf993/2000k/hls/mixed.m3u8#https://api.cygc.xyz/iqiyi/cache/c8da63fb164f2e13c533c13edb9bc7ef.m3u8
暴风,https://vip.lz-cdn3.com/20230629/19949_ea0462a1/2000k/hls/mixed.m3u8#https://s6.bfzycdn.com/video/baofeng/HD/index.m3u8
消失的她,https://s6.bfzycdn.com/video/xiaoshideta/TC/index.m3u8#https://vip.lz-cdn1.com/20230627/21147_a566c3d8/2000k/hls/mixed.m3u8
人生路不熟,https://s6.bfzycdn.com/video/renshenglubushu/HD/index.m3u8#https://vip.lz-cdn3.com/20230702/19987_4407d61e/2000k/hls/mixed.m3u8
夺宝奇兵5,https://s6.bfzycdn.com/video/duobaoqibing5mingyunzhuanpan/TC/index.m3u8#https://cdn17.yzzy-tv-cdn.com/20230630/10485_b8d197f6/2000k/hls/index.m3u8

旅行到宇宙边缘,https://vip.lz-cdn16.com/20230630/29750_886bf702/2000k/hls/mixed.m3u8#https://hnzy.bfvvs.com/play/Rb46wjne/index.m3u8
抢救切尔诺贝利,https://vip.lz-cdn16.com/20230628/29621_55f264fb/2000k/hls/mixed.m3u8
江湖巨无霸·黑帮与黄金,https://s6.bfzycdn.com/video/jianghujuwubaheibangyuhuangjin/HD%E4%B8%AD%E5%AD%97/index.m3u8#https://vip.lz-cdn1.com/20230619/21127_ed8e7ebc/2000k/hls/mixed.m3u8
智取威虎山·纪录片,https://s6.bfzycdn.com/video/zhiquweihushandianyingjilupianzhidahushangshan/HD%E5%9B%BD%E8%AF%AD/index.m3u8
人潮汹涌·纪录片,https://vip.ffzy-play6.com/20221127/8672_0796a486/2000k/hls/mixed.m3u8#https://e1.monidai.com/ppvod/7E8C867C4286EA1BDBC8094C8C666D7B.m3u8
十二夜2回到第零天,https://vip.lz-cdn3.com/20220705/8771_1e6f2ec7/1000k/hls/mixed.m3u8#https://dow4.dowlzi.com/20220705/8771_1e6f2ec7/十二夜2：回到第零天.mp4
通向星际的道路,https://vip.lz-cdn1.com/20220518/5993_6eb6f8d0/1200k/hls/mixed.m3u8#https://dow.dowlz5.com/20220518/5993_6eb6f8d0/通向星际的道路 Doroga k zvezdam (1958).mp
MH370：消失的航班1,https://s6.bfzycdn.com/video/MH370xiaoshidehangban/%E7%AC%AC01%E9%9B%86/index.m3u8#https://vip.lz-cdn3.com/20230308/18017_ac6aa236/1800k/hls/mixed.m3u8
MH370：消失的航班2,https://vip.lz-cdn3.com/20230308/18016_4f97c455/1800k/hls/mixed.m3u8#https://s6.bfzycdn.com/video/MH370xiaoshidehangban/%E7%AC%AC02%E9%9B%86/index.m3u8
MH370：消失的航班3,https://s6.bfzycdn.com/video/MH370xiaoshidehangban/%E7%AC%AC03%E9%9B%86/index.m3u8#https://vip.lz-cdn3.com/20230308/18015_de5c35de/1800k/hls/mixed.m3u8
我们需要谈谈AI,https://vip.lz-cdn2.com/20220429/4851_3f278df4/1200k/hls/mixed.m3u8#https://dow.dowlz5.com/20220429/4851_3f278df4/我们需要谈谈AI.We.Need.to.Talk.About.A.I.2020.mp4
向毛主席汇报,https://s6.bfzycdn.com/video/xiangmaozhuxihuibao/HD/index.m3u8#https://vip.lz-cdn2.com/20220423/4121_99659400/1200k/hls/mixed.m3u8
微观世界,https://vip.lz-cdn11.com/20220516/6802_4a445ab6/1000k/hls/mixed.m3u8#https://vip.kuaikan-cdn3.com/20230331/4Xdeg4l8/hls/ZGrIiu0r.ts

人体结构,https://s6.bfzycdn.com/video/rentijiegou/HD/index.m3u8#https://vip.lz-cdn3.com/20230527/19092_64fedf7d/2000k/hls/mixed.m3u8
零零后,https://dow.dowlz5.com/20220508/4864_9037ebff/零零后.mp4#https://vip.lz-cdn1.com/20220508/4864_9037ebff/1200k/hls/mixed.m3u8
极限送达,https://s6.bfzycdn.com/video/jixiansongda/HD/index.m3u8
北极故事,https://vip.kuaikan-cdn3.com/20230331/B2hPB9zL/hls/zze10F5X.ts#https://s1.bfzycdn.com/video/beijigushi/HD%E4%B8%AD%E5%AD%97/index.m3u8
鏖战勒拿河,https://s6.bfzycdn.com/video/aozhanlenahe/HD/index.m3u8
奥卡万戈：生命的洪流,https://s6.bfzycdn.com/video/aokawangeshengmingdehongliu/HD/index.m3u8
大学,https://dow.dowlzi.com/20220325/485_af8f618f/大学.mp4#https://vip.lz-cdn1.com/20220325/485_af8f618f/1200k/hls/mixed.m3u8

大侠胡金铨1,https://vip.lz-cdn3.com/20230305/17979_dcc4f702/1800k/hls/mixed.m3u8#https://vip.ffzy-play7.com/20230503/23774_052508a6/2000k/hls/mixed.m3u8
大侠胡金铨2,https://vip.lz-cdn3.com/20230305/17978_e8928ce6/1800k/hls/mixed.m3u8#https://vip.ffzy-play7.com/20230503/23773_a16c59d6/2000k/hls/mixed.m3u8
大上海的过客,https://vip.lz-cdn1.com/20220422/2918_cd1b2a82/1200k/hls/mixed.m3u8#https://vip.ffzy-play6.com/20221023/1255_e4d85b7f/2000k/hls/mixed.m3u8
红旗渠,https://vip.ffzy-play7.com/20221207/8376_fbda4edd/2000k/hls/mixed.m3u8

火山：法卡里营救,https://vip.lz-cdn7.com/20221220/12747_b8786984/2000k/hls/mixed.m3u8#https://vip.ffzy-play5.com/20221218/4247_f025d175/2000k/hls/mixed.m3u8
李小龙的生与死,https://dow.dowlz5.com/20220529/6855_f65b9ae2/李小龙的生与死 (1973).mp4#https://vip.lz-cdn1.com/20220529/6855_f65b9ae2/1200k/hls/mixed.m3u8#https://vip.ffzy-play7.com/20221128/7616_58d018a9/2000k/hls/mixed.m3u8
梅西,https://vip.ffzy-online.com/20221211/32336_e7bfe714/2000k/hls/mixed.m3u8

孟买黑帮,https://vip.ffzy-play4.com/20230106/5902_e4ff56dd/2000k/hls/mixed.m3u8#https://vip.lz-cdn3.com/20230120/17272_99b05183/1800k/hls/mixed.m3u8

抗美援朝光影纪实,https://dow.dowlz5.com/20220510/5147_b2aed143/保家卫国——抗美援朝光影纪实.mp4#https://vip.lz-cdn1.com/20220510/5147_b2aed143/1200k/hls/mixed.m3u8#https://vip.ffzy-online.com/20221015/612_80f1e10d/5000k/hls/mixed.m3u8
C罗,https://vip.ffzy-play7.com/20221209/9014_6ca2cdb9/2000k/hls/mixed.m3u8
深渊幽灵,https://vip.ffzy-play2.com/20221022/417_755b2c37/2500k/hls/mixed.m3u8
史蒂夫·乔布斯,https://vip.ffzy-play7.com/20221207/8462_1bdbc777/2000k/hls/mixed.m3u8
我是车手,https://dow.dowlz5.com/20220508/4890_1e327570/我是车手.mp4#https://vip.lz-cdn1.com/20220508/4890_1e327570/1200k/hls/mixed.m3u8#https://vip.ffzy-play6.com/20221111/5720_96d4c4f3/2000k/hls/mixed.m3u8

我们和《金刚川》,https://vip.ffzy-play1.com/20221018/525_a7a66654/2000k/hls/mixed.m3u8
新中国的诞生,https://vip.ffzy-play7.com/20221208/8962_d8f0b6af/2000k/hls/mixed.m3u8

《八佰》制作纪录,https://s6.bfzycdn.com/video/hupodianyingbabaizhizuojilu/HD/index.m3u8
举证责任 - 第01集,https://dow.dowlz6.com/20230608/24696_ad37c3d6/举证责任.S01E01.mp4#https://vip.lz-cdn14.com/20230608/24696_ad37c3d6/2000k/hls/mixed.m3u8
举证责任 - 第02集,https://dow.dowlz6.com/20230608/24695_621ddc23/举证责任.S01E02.mp4#https://vip.lz-cdn14.com/20230608/24695_621ddc23/2000k/hls/mixed.m3u8
举证责任 - 第03集,https://dow.dowlz6.com/20230609/24807_725b24f7/举证责任.S01E03.mp4#https://vip.lz-cdn14.com/20230609/24807_725b24f7/2000k/hls/mixed.m3u8
举证责任 - 第04集,https://dow.dowlz6.com/20230609/24806_e41f441a/举证责任.S01E04.mp4#https://vip.lz-cdn14.com/20230609/24806_e41f441a/2000k/hls/mixed.m3u8
尘封核爆,https://vip.lz-cdn3.com/20230608/19417_4ea48ceb/2000k/hls/mixed.m3u8
迷人的非洲,https://vip.ffzy-play7.com/20230607/25798_8e51627d/2000k/hls/mixed.m3u8

太阳系的奇迹,https://vip.ffzy-play7.com/20230607/25772_a4d53dc2/2000k/hls/mixed.m3u8
